level,year,name,value,adj_factor,adj_value
state,1990,Connecticut,41721,1.8241536129358262,76106
counties,1990,Fairfield County,49891,1.8241536129358262,91009
counties,1990,Hartford County,40609,1.8241536129358262,74077
counties,1990,Litchfield County,42565,1.8241536129358262,77645
counties,1990,Middlesex County,43212,1.8241536129358262,78825
counties,1990,New Haven County,38471,1.8241536129358262,70177
counties,1990,New London County,37488,1.8241536129358262,68384
counties,1990,Tolland County,45019,1.8241536129358262,82122
counties,1990,Windham County,33851,1.8241536129358262,61749
towns,1990,Bethel,53761,1.8241536129358262,98068
towns,1990,Bridgeport,28704,1.8241536129358262,52361
towns,1990,Brookfield,60054,1.8241536129358262,109548
towns,1990,Danbury,43832,1.8241536129358262,79956
towns,1990,Darien,89395,1.8241536129358262,163070
towns,1990,Easton,75236,1.8241536129358262,137242
towns,1990,Fairfield,55752,1.8241536129358262,101700
towns,1990,Greenwich,65072,1.8241536129358262,118701
towns,1990,Monroe,59967,1.8241536129358262,109389
towns,1990,New Canaan,91951,1.8241536129358262,167733
towns,1990,New Fairfield,60161,1.8241536129358262,109743
towns,1990,Newtown,60830,1.8241536129358262,110963
towns,1990,Norwalk,48171,1.8241536129358262,87871
towns,1990,Redding,76332,1.8241536129358262,139241
towns,1990,Ridgefield,74271,1.8241536129358262,135482
towns,1990,Shelton,49965,1.8241536129358262,91144
towns,1990,Sherman,62124,1.8241536129358262,113324
towns,1990,Stamford,49787,1.8241536129358262,90819
towns,1990,Stratford,41745,1.8241536129358262,76149
towns,1990,Trumbull,60634,1.8241536129358262,110606
towns,1990,Weston,104482,1.8241536129358262,190591
towns,1990,Westport,81957,1.8241536129358262,149502
towns,1990,Wilton,87686,1.8241536129358262,159953
towns,1990,Avon,66602,1.8241536129358262,121492
towns,1990,Berlin,49004,1.8241536129358262,89391
towns,1990,Bloomfield,47853,1.8241536129358262,87291
towns,1990,Bristol,38261,1.8241536129358262,69794
towns,1990,Burlington,56937,1.8241536129358262,103862
towns,1990,Canton,53449,1.8241536129358262,97499
towns,1990,East Granby,52317,1.8241536129358262,95434
towns,1990,East Hartford,36584,1.8241536129358262,66735
towns,1990,East Windsor,40888,1.8241536129358262,74586
towns,1990,Enfield,44635,1.8241536129358262,81421
towns,1990,Farmington,52979,1.8241536129358262,96642
towns,1990,Glastonbury,57464,1.8241536129358262,104823
towns,1990,Granby,58839,1.8241536129358262,107331
towns,1990,Hartford,22140,1.8241536129358262,40387
towns,1990,Hartland,47105,1.8241536129358262,85927
towns,1990,Manchester,40290,1.8241536129358262,73495
towns,1990,Marlborough,60635,1.8241536129358262,110608
towns,1990,New Britain,30121,1.8241536129358262,54945
towns,1990,Newington,45481,1.8241536129358262,82964
towns,1990,Plainville,38432,1.8241536129358262,70106
towns,1990,Rocky Hill,48125,1.8241536129358262,87787
towns,1990,Simsbury,64538,1.8241536129358262,117727
towns,1990,Southington,47106,1.8241536129358262,85929
towns,1990,South Windsor,57606,1.8241536129358262,105082
towns,1990,Suffield,50714,1.8241536129358262,92510
towns,1990,West Hartford,49642,1.8241536129358262,90555
towns,1990,Wethersfield,43888,1.8241536129358262,80058
towns,1990,Windsor,50228,1.8241536129358262,91624
towns,1990,Windsor Locks,43593,1.8241536129358262,79520
towns,1990,Barkhamsted,53884,1.8241536129358262,98293
towns,1990,Bethlehem,47986,1.8241536129358262,87534
towns,1990,Bridgewater,59688,1.8241536129358262,108880
towns,1990,Canaan,35950,1.8241536129358262,65578
towns,1990,Colebrook,44152,1.8241536129358262,80540
towns,1990,Cornwall,38937,1.8241536129358262,71027
towns,1990,Goshen,45417,1.8241536129358262,82848
towns,1990,Harwinton,49926,1.8241536129358262,91073
towns,1990,Kent,42029,1.8241536129358262,76667
towns,1990,Litchfield,45819,1.8241536129358262,83581
towns,1990,Morris,41625,1.8241536129358262,75930
towns,1990,New Hartford,50338,1.8241536129358262,91824
towns,1990,New Milford,49975,1.8241536129358262,91162
towns,1990,Norfolk,41917,1.8241536129358262,76463
towns,1990,North Canaan,35922,1.8241536129358262,65527
towns,1990,Plymouth,41325,1.8241536129358262,75383
towns,1990,Roxbury,51633,1.8241536129358262,94187
towns,1990,Salisbury,41141,1.8241536129358262,75048
towns,1990,Sharon,41500,1.8241536129358262,75702
towns,1990,Thomaston,40851,1.8241536129358262,74518
towns,1990,Torrington,35230,1.8241536129358262,64265
towns,1990,Warren,46875,1.8241536129358262,85507
towns,1990,Washington,48704,1.8241536129358262,88844
towns,1990,Watertown,45763,1.8241536129358262,83479
towns,1990,Winchester,37831,1.8241536129358262,69010
towns,1990,Woodbury,50326,1.8241536129358262,91802
towns,1990,Chester,43698,1.8241536129358262,79712
towns,1990,Clinton,45884,1.8241536129358262,83699
towns,1990,Cromwell,46970,1.8241536129358262,85680
towns,1990,Deep River,39560,1.8241536129358262,72164
towns,1990,Durham,55684,1.8241536129358262,101576
towns,1990,East Haddam,44245,1.8241536129358262,80710
towns,1990,East Hampton,48000,1.8241536129358262,87559
towns,1990,Essex,45033,1.8241536129358262,82147
towns,1990,Haddam,51655,1.8241536129358262,94227
towns,1990,Killingworth,51128,1.8241536129358262,93265
towns,1990,Middlefield,46491,1.8241536129358262,84807
towns,1990,Middletown,37644,1.8241536129358262,68668
towns,1990,Old Saybrook,48223,1.8241536129358262,87966
towns,1990,Portland,46581,1.8241536129358262,84971
towns,1990,Westbrook,37534,1.8241536129358262,68468
towns,1990,Ansonia,34181,1.8241536129358262,62351
towns,1990,Beacon Falls,43644,1.8241536129358262,79613
towns,1990,Bethany,57316,1.8241536129358262,104553
towns,1990,Branford,43578,1.8241536129358262,79493
towns,1990,Cheshire,58250,1.8241536129358262,106257
towns,1990,Derby,35808,1.8241536129358262,65319
towns,1990,East Haven,37220,1.8241536129358262,67895
towns,1990,Guilford,56115,1.8241536129358262,102362
towns,1990,Hamden,41814,1.8241536129358262,76275
towns,1990,Madison,61871,1.8241536129358262,112862
towns,1990,Meriden,36211,1.8241536129358262,66054
towns,1990,Middlebury,49524,1.8241536129358262,90339
towns,1990,Milford,44142,1.8241536129358262,80522
towns,1990,Naugatuck,39902,1.8241536129358262,72787
towns,1990,New Haven,25811,1.8241536129358262,47083
towns,1990,North Branford,50798,1.8241536129358262,92663
towns,1990,North Haven,49148,1.8241536129358262,89654
towns,1990,Orange,62021,1.8241536129358262,113136
towns,1990,Oxford,54448,1.8241536129358262,99322
towns,1990,Prospect,48455,1.8241536129358262,88389
towns,1990,Seymour,39864,1.8241536129358262,72718
towns,1990,Southbury,47335,1.8241536129358262,86346
towns,1990,Wallingford,42783,1.8241536129358262,78043
towns,1990,Waterbury,30533,1.8241536129358262,55697
towns,1990,West Haven,35723,1.8241536129358262,65164
towns,1990,Wolcott,48507,1.8241536129358262,88484
towns,1990,Woodbridge,70670,1.8241536129358262,128913
towns,1990,Bozrah,43553,1.8241536129358262,79447
towns,1990,Colchester,46389,1.8241536129358262,84621
towns,1990,East Lyme,46979,1.8241536129358262,85697
towns,1990,Franklin,41780,1.8241536129358262,76213
towns,1990,Griswold,32904,1.8241536129358262,60022
towns,1990,Groton,33967,1.8241536129358262,61961
towns,1990,Lebanon,43983,1.8241536129358262,80232
towns,1990,Ledyard,49811,1.8241536129358262,90863
towns,1990,Lisbon,38192,1.8241536129358262,69668
towns,1990,Lyme,45848,1.8241536129358262,83634
towns,1990,Montville,42140,1.8241536129358262,76870
towns,1990,New London,26336,1.8241536129358262,48041
towns,1990,North Stonington,47070,1.8241536129358262,85863
towns,1990,Norwich,29354,1.8241536129358262,53546
towns,1990,Old Lyme,50813,1.8241536129358262,92691
towns,1990,Preston,42823,1.8241536129358262,78116
towns,1990,Salem,49278,1.8241536129358262,89891
towns,1990,Sprague,38247,1.8241536129358262,69768
towns,1990,Stonington,39651,1.8241536129358262,72330
towns,1990,Voluntown,35699,1.8241536129358262,65120
towns,1990,Waterford,44167,1.8241536129358262,80567
towns,1990,Andover,48289,1.8241536129358262,88087
towns,1990,Bolton,51351,1.8241536129358262,93672
towns,1990,Columbia,53744,1.8241536129358262,98037
towns,1990,Coventry,46426,1.8241536129358262,84688
towns,1990,Ellington,45604,1.8241536129358262,83189
towns,1990,Hebron,56093,1.8241536129358262,102322
towns,1990,Mansfield,38591,1.8241536129358262,70396
towns,1990,Somers,52970,1.8241536129358262,96625
towns,1990,Stafford,39084,1.8241536129358262,71295
towns,1990,Tolland,56120,1.8241536129358262,102372
towns,1990,Union,42045,1.8241536129358262,76697
towns,1990,Vernon,40543,1.8241536129358262,73957
towns,1990,Willington,41826,1.8241536129358262,76297
towns,1990,Ashford,39701,1.8241536129358262,72421
towns,1990,Brooklyn,37026,1.8241536129358262,67541
towns,1990,Canterbury,41327,1.8241536129358262,75387
towns,1990,Chaplin,40932,1.8241536129358262,74666
towns,1990,Eastford,37933,1.8241536129358262,69196
towns,1990,Hampton,41452,1.8241536129358262,75615
towns,1990,Killingly,32032,1.8241536129358262,58431
towns,1990,Plainfield,34588,1.8241536129358262,63094
towns,1990,Pomfret,40653,1.8241536129358262,74157
towns,1990,Putnam,27837,1.8241536129358262,50779
towns,1990,Scotland,41346,1.8241536129358262,75421
towns,1990,Sterling,32905,1.8241536129358262,60024
towns,1990,Thompson,34956,1.8241536129358262,63765
towns,1990,Windham,29135,1.8241536129358262,53147
towns,1990,Woodstock,43352,1.8241536129358262,79081
state,2000,Connecticut,53935,1.4274416765519968,76989
counties,2000,Fairfield County,65249,1.4274416765519968,93139
counties,2000,Hartford County,50756,1.4274416765519968,72451
counties,2000,Litchfield County,56273,1.4274416765519968,80326
counties,2000,Middlesex County,59175,1.4274416765519968,84469
counties,2000,New Haven County,48834,1.4274416765519968,69708
counties,2000,New London County,50646,1.4274416765519968,72294
counties,2000,Tolland County,59044,1.4274416765519968,84282
counties,2000,Windham County,45115,1.4274416765519968,64399
towns,2000,Bethel,68891,1.4274416765519968,98338
towns,2000,Bridgeport,34658,1.4274416765519968,49472
towns,2000,Brookfield,82706,1.4274416765519968,118058
towns,2000,Danbury,53664,1.4274416765519968,76602
towns,2000,Darien,146755,1.4274416765519968,209484
towns,2000,Easton,125557,1.4274416765519968,179225
towns,2000,Fairfield,83512,1.4274416765519968,119209
towns,2000,Greenwich,99086,1.4274416765519968,141439
towns,2000,Monroe,85000,1.4274416765519968,121333
towns,2000,New Canaan,141788,1.4274416765519968,202394
towns,2000,New Fairfield,84375,1.4274416765519968,120440
towns,2000,Newtown,90193,1.4274416765519968,128745
towns,2000,Norwalk,59839,1.4274416765519968,85417
towns,2000,Redding,104137,1.4274416765519968,148649
towns,2000,Ridgefield,107351,1.4274416765519968,153237
towns,2000,Shelton,67292,1.4274416765519968,96055
towns,2000,Sherman,76202,1.4274416765519968,108774
towns,2000,Stamford,60556,1.4274416765519968,86440
towns,2000,Stratford,53494,1.4274416765519968,76360
towns,2000,Trumbull,79507,1.4274416765519968,113492
towns,2000,Weston,146697,1.4274416765519968,209401
towns,2000,Westport,119872,1.4274416765519968,171110
towns,2000,Wilton,141428,1.4274416765519968,201880
towns,2000,Avon,90934,1.4274416765519968,129803
towns,2000,Berlin,68068,1.4274416765519968,97163
towns,2000,Bloomfield,53812,1.4274416765519968,76813
towns,2000,Bristol,47422,1.4274416765519968,67692
towns,2000,Burlington,82711,1.4274416765519968,118065
towns,2000,Canton,65013,1.4274416765519968,92802
towns,2000,East Granby,68696,1.4274416765519968,98060
towns,2000,East Hartford,41424,1.4274416765519968,59130
towns,2000,East Windsor,51092,1.4274416765519968,72931
towns,2000,Enfield,52810,1.4274416765519968,75383
towns,2000,Farmington,67073,1.4274416765519968,95743
towns,2000,Glastonbury,80660,1.4274416765519968,115137
towns,2000,Granby,81151,1.4274416765519968,115838
towns,2000,Hartford,24820,1.4274416765519968,35429
towns,2000,Hartland,64674,1.4274416765519968,92318
towns,2000,Manchester,49426,1.4274416765519968,70553
towns,2000,Marlborough,80265,1.4274416765519968,114574
towns,2000,New Britain,34185,1.4274416765519968,48797
towns,2000,Newington,57118,1.4274416765519968,81533
towns,2000,Plainville,48136,1.4274416765519968,68711
towns,2000,Rocky Hill,60247,1.4274416765519968,85999
towns,2000,Simsbury,82996,1.4274416765519968,118472
towns,2000,Southington,60538,1.4274416765519968,86414
towns,2000,South Windsor,73990,1.4274416765519968,105616
towns,2000,Suffield,66698,1.4274416765519968,95208
towns,2000,West Hartford,61665,1.4274416765519968,88023
towns,2000,Wethersfield,53289,1.4274416765519968,76067
towns,2000,Windsor,64137,1.4274416765519968,91552
towns,2000,Windsor Locks,48837,1.4274416765519968,69712
towns,2000,Barkhamsted,65972,1.4274416765519968,94171
towns,2000,Bethlehem,68542,1.4274416765519968,97840
towns,2000,Bridgewater,80420,1.4274416765519968,114795
towns,2000,Canaan,54688,1.4274416765519968,78064
towns,2000,Colebrook,58684,1.4274416765519968,83768
